GEOID,latino_pop,total_pop
12091,22578,211668
12093,9857,39644
12095,473025,1429908
12097,211089,388656
12099,349933,1492191
12101,93157,561891
12103,102439,959107
12105,187695,725046
12107,7816,73321
12109,22607,273425
12111,66320,329226
12113,11890,188000
12115,43236,434006
12117,106539,470856
12119,7583,129752
12121,4785,43474
12123,866,21796
12125,764,16147
12127,82652,553543
12129,1577,33764
12131,6187,75305
12133,924,25318
13001,1825,18444
13003,2048,8286
13005,875,11140
13007,143,2876
13009,1139,43799
13011,1164,18035
13013,10560,83505
13015,10751,108901
13017,1054,17194
13019,1045,18160
13021,6737,157346
13023,469,12583
13025,326,18021
13027,955,16301
13029,3269,44738
13031,4180,81099
13033,777,24596
13035,803,25434
13037,149,5573
13039,3658,54768
13043,1378,10981
13045,9586,119148
13047,2341,67872
13049,2036,12518
13051,23790,295291
13053,1610,9565
13055,1297,24965
13057,32111,266620
13059,14336,128671
13061,41,2848
13063,42546,297595
13065,253,6749
13067,111240,766149
13069,5430,43092
13071,8709,45898
13073,11858,156010
13075,1134,17229
13077,11053,146158
13079,415,12130
13081,634,20128
13083,364,16251
13085,1605,26798
13087,1911,29367
13089,81471,764382
13091,620,19925
13093,797,11208
13095,2413,85790
13097,16035,144237
13099,186,10854
13101,1091,3697
13103,3492,64769
13105,996,19637
13107,993,22768
13109,1237,10774
13111,753,25319
13113,9480,119194
13115,11466,98584
13117,25226,251283
13119,1121,23424
13121,86302,1066710
13123,3599,31353
13125,52,2884
13127,6336,84499
13129,8957,57544
13131,3273,26236
13133,1289,18915
13135,220460,957062
13137,6880,46031
13139,57010,203136
13141,63,8735
13143,497,29919
13145,1417,34668
13147,931,25828
13149,253,11412
13151,18437,240712
13153,11807,163633
13155,663,9666
13157,6712,75907
13159,684,14588
13161,2047,14779
13163,462,15709
13165,303,8674
13167,117,9189
13169,476,28347
13171,475,18500
13173,572,9877
13175,1424,49570
13177,953,33163
13179,7786,65256
13181,92,7690
13183,1979,16168
13185,7872,118251
13187,1790,33488
13189,790,21632
13191,231,10975
13193,472,12082
13195,1956,30120
13197,560,7498
13199,475,20613
13201,136,6000
13205,964,21755
13207,714,27957
13209,571,8610
13211,712,20097
13213,5914,39973
13215,16513,206922
13217,7164,112483
13219,2347,41799
13221,869,14825
13223,12564,168661
13225,2547,27981
13227,1198,33216
13229,998,19716
13231,348,18889
13233,5585,42853
13235,327,9855
13237,1557,22047
13239,31,2235
13241,1452,16883
13243,143,6425
13245,11449,206607
13247,9540,93570
13249,175,4547
13251,287,14067
13253,228,9147
13255,3666,67306
13257,857,26784
13259,1217,5314
13261,1770,29616
13263,112,5733
13265,69,1559
13267,2303,22842
13269,168,7816
13271,1928,12477
13273,177,9185
13275,1577,45798
13277,5219,41344
13279,3044,27030
13281,415,12493
13283,170,6406
13285,2956,69426
13287,372,9006
13289,124,8022
13291,816,24632
13293,633,27700
13295,1685,67654
13297,5228,96673
13299,1612,36251
13301,53,5215
13303,334,19988
13305,1732,30144
13307,59,2348
13309,272,7471
13311,913,28003
13313,36916,102864
13315,272,8766
13317,399,9565
13319,239,8877
13321,381,20784
15001,22275,200629
15003,92322,1016508
15005,18,82
15007,7394,73298
15009,16914,164754
16001,45223,494967
16003,152,4379
16005,7993,87018
16007,208,6372
16009,254,9530
16011,8331,47992
16013,5021,24272
16015,324,7610
16017,1504,47110
16019,17094,123964
16021,692,12056
16023,134,2574
16025,59,1077
16027,59166,231105
16029,384,7027
16031,7186,24655
16033,288,790
16035,300,8734
16037,156,4275
16039,5097,28666
16041,1023,14194
16043,1590,13388
16045,1722,19123
16047,4847,15598
16049,611,16541
16051,3256,30891
16053,9176,24237
16055,8756,171362
16057,2073,39517
16059,295,7974
16061,138,3533
16063,1639,5127
16065,5248,52913
16067,7909,21613
16069,1630,42090
16071,178,4564
16073,2915,11913
16075,4268,25386
16077,2624,7878
16079,450,13169
16081,2020,11630
16083,15210,90046
16085,601,11746
16087,1662,10500
17001,1287,65737
17003,82,5240
17005,604,16725
17007,12880,53448
17009,282,6244
17011,3095,33244
17013,64,4437
17015,757,15702
17017,2789,13042
17019,16666,205865
17021,1094,34032
17023,246,15455
17025,223,13288
17027,1387,36899
17029,1768,46863
17031,1382778,5275541
17033,447,18679
17035,112,10450
17037,13597,100420
17039,510,15516
17041,1565,19740
17043,144291,932877
17045,225,16866
17047,63,6245
17049,872,34668
17051,657,21488
17053,554,13534
17055,642,37804
17057,738,33609
17059,53,4946
17061,106,11985
17063,5712,52533
17065,96,7993
17067,318,17620
17069,65,3649
17071,112,6387
17073,3170,49284
17075,2085,27077
17077,2837,52974
17079,84,9287
17081,899,37113
17083,327,21512
17085,856,22035
17087,552,13308
17089,169595,516522
17091,12520,107502
17093,27127,131869
17095,3051,49967
17097,171962,714342
17099,11456,109658
17101,514,15280
17103,2324,34145
17105,1859,35815
17107,818,27987
17109,962,27238
17111,46705,310229
17113,10524,170954
17115,2733,103998
17117,570,44967
17119,10797,265859
17121,712,37729
17123,323,11742
17125,184,13086
17127,333,14169
17129,160,12297
17131,468,15699
17133,646,34962
